Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",-5.010000,-15.980000,180.000000,top
"C2","4u7","C_0402_1005Metric",-5.260000,-14.570000,90.000000,top
"C3","100n","C_0402_1005Metric",-1.740000,-11.940000,90.000000,top
"C4","4u7","C_0402_1005Metric",-2.670000,-11.940000,90.000000,top
"C5","10u","C_0805_2012Metric",1.150000,14.430000,-90.000000,top
"C6","100n","C_0402_1005Metric",5.010000,-17.750000,0.000000,top
"C7","100n","C_0402_1005Metric",5.060000,-19.940000,0.000000,top
"C8","1u","C_0402_1005Metric",-0.895000,11.715000,90.000000,top
"C9","4u7","C_0402_1005Metric",4.660000,-20.860000,0.000000,top
"C10","100n","C_0402_1005Metric",-5.010000,-16.900000,180.000000,top
"C11","100n","C_0402_1005Metric",-5.010000,-18.680000,180.000000,top
"C12","4u7","C_0402_1005Metric",5.010000,-16.830000,0.000000,top
"C13","4u7","C_0402_1005Metric",-5.925000,-19.600000,180.000000,top
"C14","100n","C_0402_1005Metric",6.000000,13.780000,-90.000000,top
"C15","1u","C_0402_1005Metric",-5.940000,11.720000,90.000000,top
"C16","1n","C_0402_1005Metric",5.060000,-7.044568,0.000000,top
"C17","22u","C_0805_2012Metric",1.350000,10.120937,90.000000,top
"C18","100n","C_0402_1005Metric",5.010000,-1.325000,0.000000,top
"C19","100n","C_0402_1005Metric",-5.740000,10.220000,0.000000,top
"C20","100n","C_0402_1005Metric",-5.010000,1.800000,180.000000,top
"C21","TBD","C_0402_1005Metric",-4.255000,-10.120000,90.000000,top
"C22","TBD","C_0402_1005Metric",0.865000,-10.120000,90.000000,top
"C23","100n","C_0402_1005Metric",2.850000,-6.020000,-90.000000,top
"C24","4u7","C_0402_1005Metric",2.020000,3.560000,0.000000,top
"C25","100n","C_0402_1005Metric",5.010000,1.800000,0.000000,top
"C26","4u7","C_0402_1005Metric",4.500000,3.805000,-90.000000,top
"C27","100n","C_0402_1005Metric",-0.460000,4.010000,90.000000,top
"C28","4u7","C_0402_1005Metric",2.020000,4.485000,0.000000,top
"C29","100n","C_0402_1005Metric",-5.020000,-2.275000,180.000000,top
"C30","100n","C_0402_1005Metric",-1.400000,-6.010000,-90.000000,top
"C31","100n","C_0402_1005Metric",-5.030000,-0.125000,180.000000,top
"C32","100n","C_0402_1005Metric",5.010000,-0.400000,0.000000,top
"C33","4u7","C_0402_1005Metric",0.175000,-6.020000,-90.000000,top
"D1","PMEG4010ER","Nexperia_CFP3_SOD-123W",-2.170000,15.980000,180.000000,top
"D3","LED","LED_0402_1005Metric",6.580000,-12.925000,-90.000000,top
"D4","LED","LED_0402_1005Metric",-5.950000,13.625000,90.000000,top
"F1","Polyfuse","Fuse_0603_1608Metric",-6.210000,16.787500,90.000000,top
"J3","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",0.000000,21.840000,180.000000,top
"L1","3u9","L_Chilisin_BWVS00404012",4.680000,10.525937,-90.000000,top
"L2","3u3","L_Changjiang_FTC201607S",2.020000,6.135000,0.000000,top
"Q1","BSS138","SOT-23",5.450000,-9.254568,180.000000,top
"R1","5K1","R_0402_1005Metric",-3.490000,14.390000,180.000000,top
"R2","5K1","R_0402_1005Metric",1.400000,16.600000,0.000000,top
"R3","100R","R_0402_1005Metric",-6.190000,-14.590000,-90.000000,top
"R4","10K","R_0402_1005Metric",5.880000,-14.840000,180.000000,top
"R5","10K","R_0402_1005Metric",5.880000,-15.780000,180.000000,top
"R6","TBD","R_0402_1005Metric",-5.700000,-20.840000,0.000000,top
"R7","TBD","R_0402_1005Metric",-6.170000,-22.300000,90.000000,top
"R8","TBD","R_0402_1005Metric",-5.220000,-22.300000,90.000000,top
"R9","TBD","R_0402_1005Metric",5.630000,-12.950000,-90.000000,top
"R10","100K","R_0402_1005Metric",5.760000,-11.474568,0.000000,top
"R11","10K","R_0402_1005Metric",3.280000,-9.264568,-90.000000,top
"R12","TBD","R_0402_1005Metric",-4.970000,14.620000,90.000000,top
"R13","100K","R_0402_1005Metric",6.450000,-6.574568,90.000000,top
"R14","1K","R_0402_1005Metric",-6.625000,-2.810000,-90.000000,top
"R15","1K","R_0402_1005Metric",0.875000,-8.280000,-90.000000,top
"R16","27R","R_0402_1005Metric",0.250000,6.380000,90.000000,top
"R17","27R","R_0402_1005Metric",-0.690000,6.390000,90.000000,top
"R18","33R","R_0402_1005Metric",4.500000,5.645000,-90.000000,top
"SW1","SW_MEC_5G","SW_3_42 4-PIN Button",-5.600000,-6.432500,90.000000,top
"U1","ICE40UP5K-SG48I","QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm",0.000000,-17.000000,180.000000,top
"U2","AP63203","TSOT-23-6",3.830000,14.930000,-90.000000,top
"U3","TLV75512PDBV","SOT-23-5",-3.432500,12.190000,180.000000,top
"U4","W25Q128JVP","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",-4.315000,6.430000,90.000000,top
"U5","RP2350A","QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm",0.000000,-1.000000,0.000000,top
"Y1","12MHZ","Crystal_SMD_3225-4Pin_3.2x2.5mm",-1.695000,-9.280000,0.000000,top
